Two of Spades 51/6 in Mars VS Seven of Diamonds 35/8 in Venus = Two of Spades 51/6 in Mars
Ten of Spades 13/4 in Mercury VS Eight of Diamonds 54/9 in Mars = Ten of Spades 13/4 in Mercury
Five of Diamonds 42/6 in Mars VS Ace of Spades 34/7 in Jupiter = Five of Diamonds 42/6 in Mars
Ace of Clubs 30/3 in Neptune VS Five of Hearts 19/10/1 in Saturn = Ace of Clubs 30/3 in Neptune
Jack of Diamonds 35/8 in Uranus VS Eight of Diamonds 64/10/1 in Venus = Jack of Diamonds 35/8 in Uranus
Four of Spades 49/13/4 in Mars VS Three of Diamonds 36/9 in Neptune = Four of Spades 49/13/4 in Mars
Seven of Hearts 70/7 in Mercury VS Nine of Spades 54/9 in Jupiter = Seven of Hearts 70/7 in Mercury
Nine of Clubs 16/7 in Venus VS Three of Diamonds 76/13/4 in Uranus = Nine of Clubs 16/7 in Venus
Seven of Clubs 33/6 in Venus VS Four of Diamonds 40/4 in Venus = Seven of Clubs 33/6 in Venus
Eight of Spades 52/7 in Uranus VS Seven of Hearts 33/6 in Jupiter = Eight of Spades 52/7 in Uranus
Six of Spades 45/9 in Mercury VS Two of Hearts 27/9 in Neptune = Six of Spades 45/9 in Mercury
Ten of Clubs 9 in Jupiter VS Nine of Diamonds 57/12/3 in Neptune = Ten of Clubs 9 in Jupiter
Seven of Clubs 69/15/6 in Mercury VS Seven of Hearts 50/5 in Mars = Seven of Clubs 69/15/6 in Mercury
King of Clubs 43/7 in Neptune VS King of Clubs 31/4 in Uranus = King of Clubs 43/7 in Neptune
Five of Diamonds 32/5 in Venus VS Three of Spades 28/10/1 in Mercury = Five of Diamonds 32/5 in Venus
Ten of Spades 33/6 in Mercury VS Nine of Hearts 21/3 in Mercury = Ten of Spades 33/6 in Mercury
Three of Clubs 48/12/3 in Venus VS Seven of Clubs 46/10/1 in Neptune = Three of Clubs 48/12/3 in Venus
Queen of Hearts 49/13/4 in Mars VS Ace of Spades 50/5 in Mars = Queen of Hearts 49/13/4 in Mars
Five of Hearts 68/14/5 in Saturn VS King of Hearts 64/10/1 in Neptune = Five of Hearts 68/14/5 in Saturn
Six of Spades 62/8 in Neptune VS Ace of Clubs 64/10/1 in Mars = Six of Spades 62/8 in Neptune
Jack of Diamonds 40/4 in Mercury VS Five of Clubs 31/4 in Venus = Jack of Diamonds 40/4 in Mercury
King of Spades 44/8 in Mars VS Jack of Clubs 35/8 in Saturn = King of Spades 44/8 in Mars
Eight of Hearts 64/10/1 in Uranus VS King of Clubs 54/9 in Venus = Eight of Hearts 64/10/1 in Uranus
Eight of Hearts 34/7 in Neptune VS King of Hearts 47/11/2 in Saturn = Eight of Hearts 34/7 in Neptune
Three of Diamonds 60/6 in Venus VS Five of Diamonds 72/9 in Neptune = Three of Diamonds 60/6 in Venus
Five of Diamonds 34/7 in Venus VS Ace of Spades 36/9 in Venus = Five of Diamonds 34/7 in Venus
Ace of Spades 62/8 in Mercury VS Ten of Diamonds 64/10/1 in Neptune = Ace of Spades 62/8 in Mercury
Jack of Diamonds 11/2 in Uranus VS Ten of Spades 57/12/3 in Jupiter = Jack of Diamonds 11/2 in Uranus
Nine of Clubs 49/13/4 in Saturn VS Seven of Diamonds 51/6 in Saturn = Nine of Clubs 49/13/4 in Saturn
Ace of Diamonds 52/7 in Mercury VS Four of Clubs 56/11/2 in Mercury = Ace of Diamonds 52/7 in Mercury
Eight of Spades 36/9 in Venus VS King of Spades 37/10/1 in Uranus = Eight of Spades 36/9 in Venus
Five of Hearts 68/14/5 in Uranus VS Ace of Clubs 54/9 in Neptune = Five of Hearts 68/14/5 in Uranus
Eight of Clubs 38/11/2 in Mars VS Nine of Clubs 30/3 in Venus = Eight of Clubs 38/11/2 in Mars
Queen of Diamonds 46/10/1 in Neptune VS Four of Spades 47/11/2 in Mars = Queen of Diamonds 46/10/1 in Neptune
Eight of Hearts 16/7 in Saturn VS Three of Hearts 25/7 in Jupiter = Eight of Hearts 16/7 in Saturn
Three of Clubs 62/8 in Mars VS Six of Hearts 38/11/2 in Mars = Three of Clubs 62/8 in Mars
Three of Spades 48/12/3 in Saturn VS Three of Spades 22/4 in Uranus = Three of Spades 48/12/3 in Saturn
Nine of Spades 64/10/1 in Neptune VS Two of Spades 52/7 in Neptune = Nine of Spades 64/10/1 in Neptune
Eight of Clubs 32/5 in Saturn VS Three of Hearts 50/5 in Mars = Eight of Clubs 32/5 in Saturn
Jack of Spades 50/5 in Jupiter VS Ace of Hearts 51/6 in Neptune = Jack of Spades 50/5 in Jupiter
Nine of Hearts 57/12/3 in Mars VS Three of Clubs 68/14/5 in Mars = Nine of Hearts 57/12/3 in Mars
Seven of Diamonds 24/6 in Venus VS Six of Diamonds 25/7 in Venus = Seven of Diamonds 24/6 in Venus
Jack of Clubs 31/4 in Venus VS Eight of Clubs 32/5 in Venus = Jack of Clubs 31/4 in Venus
Four of Clubs 35/8 in Venus VS Two of Clubs 66/12/3 in Uranus = Four of Clubs 35/8 in Venus
Ace of Clubs 29/11/2 in Venus VS Six of Hearts 36/9 in Mercury = Ace of Clubs 29/11/2 in Venus
King of Spades 51/6 in Saturn VS Jack of Hearts 49/13/4 in Venus = King of Spades 51/6 in Saturn
Two of Clubs 38/11/2 in Mercury VS Jack of Clubs 52/7 in Neptune = Two of Clubs 38/11/2 in Mercury
Eight of Diamonds 45/9 in Neptune VS Three of Spades 45/9 in Jupiter = Eight of Diamonds 45/9 in Neptune
King of Clubs 70/7 in Mercury VS King of Spades 64/10/1 in Venus = King of Clubs 70/7 in Mercury
Three of Diamonds 45/9 in Venus VS Two of Hearts 43/7 in Uranus = Three of Diamonds 45/9 in Venus
Nine of Hearts 60/6 in Jupiter VS Eight of Spades 51/6 in Saturn = Nine of Hearts 60/6 in Jupiter
Seven of Diamonds 58/13/4 in Saturn VS Eight of Clubs 55/10/1 in Venus = Seven of Diamonds 58/13/4 in Saturn
Jack of Clubs 68/14/5 in Mercury VS Queen of Spades 54/9 in Mars = Jack of Clubs 68/14/5 in Mercury
